Spielzeit;DrehRichtung;Zahl;Geschwindigkeit;gr. Serie;kl. Serie;Orphelins;Im-/Pair;Kolonne;Manque / Passe
26.02.18 19:01;L;21;18;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 19:02;R;27;18;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:03;L;27;19;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:06;R;31;17;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 19:07;L;34;18;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 19:09;R;7;17;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 19:10;L;30;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 19:12;R;33;17;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:14;L;23;19;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 19:15;R;21;18;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 19:17;L;31;16;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 19:18;R;30;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 19:20;L;26;14;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 19:22;R;35;16;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 19:23;L;0;18;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 19:24;R;1;17;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 19:25;L;7;18;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 19:26;R;11;16;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 19:28;L;4;16;WAHR;FALSCH;FALSCH;2;1;1
26.02.18 19:29;R;24;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 19:30;L;27;17;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:32;R;2;18;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 19:34;L;26;17;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 19:35;R;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 19:37;L;2;17;WAHR;FALSCH;FALSCH;2;2;1
26.02.18 19:38;R;33;16;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:39;L;7;17;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 19:40;R;34;17;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 19:41;L;24;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 19:43;R;1;16;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 19:44;L;21;16;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 19:45;R;3;16;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 19:47;L;26;18;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 19:48;R;29;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 19:50;L;27;17;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 19:51;R;30;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 19:53;L;20;18;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 19:54;R;34;17;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 19:56;L;13;18;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 19:57;R;20;16;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 19:59;L;0;19;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 20:01;R;26;16;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 20:02;L;1;16;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 20:03;R;20;15;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 20:04;L;21;15;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 20:05;R;34;15;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 20:06;L;9;15;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 20:07;R;33;15;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 20:09;L;23;16;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 20:10;R;11;17;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 20:11;L;23;16;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 20:12;R;7;16;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 20:13;L;23;17;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 20:14;R;27;16;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 20:15;L;24;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 20:16;R;16;15;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 20:17;L;21;16;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 20:18;R;31;15;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 20:19;L;20;16;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 20:20;R;23;16;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 20:21;L;34;16;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 20:22;R;32;14;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 20:23;L;10;16;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 20:24;R;16;14;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 20:25;L;27;16;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 20:26;R;9;14;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 20:28;L;7;15;WAHR;FALSCH;FALSCH;1;1;1
26.02.18 20:29;R;28;16;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 20:30;L;14;16;FALSCH;FALSCH;WAHR;2;2;1
26.02.18 20:31;R;24;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 20:32;L;34;17;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 20:33;R;10;17;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 20:35;L;9;18;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 20:37;R;31;18;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 20:38;L;3;18;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 20:40;R;28;18;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 20:41;L;35;21;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 20:43;R;15;17;WAHR;FALSCH;FALSCH;1;3;1
26.02.18 20:44;L;13;17;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 20:47;R;13;18;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 20:49;L;19;19;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 20:50;L;19;16;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 20:51;R;36;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 20:52;L;36;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 20:53;R;13;18;FALSCH;WAHR;FALSCH;1;1;1
26.02.18 20:55;L;36;19;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 20:56;R;8;19;FALSCH;WAHR;FALSCH;2;2;1
26.02.18 20:59;L;20;17;FALSCH;FALSCH;WAHR;2;2;2
26.02.18 21:00;R;31;17;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 21:02;L;17;15;FALSCH;FALSCH;WAHR;1;2;1
26.02.18 21:03;R;19;16;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 21:04;L;16;17;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 21:05;R;27;16;FALSCH;WAHR;FALSCH;1;3;2
26.02.18 21:06;L;16;16;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 21:07;R;4;15;WAHR;FALSCH;FALSCH;2;1;1
26.02.18 21:08;L;24;16;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:09;R;25;15;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 21:10;L;30;15;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:11;R;34;16;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 21:12;L;28;15;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:13;R;30;17;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:15;L;23;16;FALSCH;WAHR;FALSCH;1;2;2
26.02.18 21:17;R;12;17;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 21:18;L;6;18;FALSCH;FALSCH;WAHR;2;3;1
26.02.18 21:20;R;19;18;WAHR;FALSCH;FALSCH;1;1;2
26.02.18 21:21;L;34;19;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 21:22;R;35;18;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 21:23;L;14;18;FALSCH;FALSCH;WAHR;2;2;1
26.02.18 21:25;R;34;16;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 21:26;L;28;19;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:27;R;10;18;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 21:29;L;8;17;FALSCH;WAHR;FALSCH;2;2;1
26.02.18 21:30;R;26;18;WAHR;FALSCH;FALSCH;2;2;2
26.02.18 21:31;L;24;18;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:32;R;0;18;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 21:33;L;1;19;FALSCH;FALSCH;WAHR;1;1;1
26.02.18 21:35;R;16;17;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 21:36;L;9;16;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 21:37;R;0;17;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 21:38;L;34;18;FALSCH;FALSCH;WAHR;2;1;2
26.02.18 21:40;R;12;18;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 21:41;L;10;18;FALSCH;WAHR;FALSCH;2;1;1
26.02.18 21:42;R;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:43;L;5;17;FALSCH;WAHR;FALSCH;1;2;1
26.02.18 21:45;R;18;17;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 21:46;L;17;19;FALSCH;FALSCH;WAHR;1;2;1
26.02.18 21:47;R;0;17;WAHR;FALSCH;FALSCH;0;0;0
26.02.18 21:48;L;21;17;WAHR;FALSCH;FALSCH;1;3;2
26.02.18 21:49;R;28;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:50;L;35;17;WAHR;FALSCH;FALSCH;1;2;2
26.02.18 21:51;R;31;16;FALSCH;FALSCH;WAHR;1;1;2
26.02.18 21:52;L;9;16;FALSCH;FALSCH;WAHR;1;3;1
26.02.18 21:53;R;6;15;FALSCH;FALSCH;WAHR;2;3;1
26.02.18 21:55;L;22;17;WAHR;FALSCH;FALSCH;2;1;2
26.02.18 21:56;R;30;15;FALSCH;WAHR;FALSCH;2;3;2
26.02.18 21:58;L;17;16;FALSCH;FALSCH;WAHR;1;2;1
26.02.18 21:59;R;18;14;WAHR;FALSCH;FALSCH;2;3;1
26.02.18 22:00;L;22;17;WAHR;FALSCH;FALSCH;2;1;2
