,Zahl,Dozen,Black/Red,Even/Odd,High/Low,Column
0,33,Dozen 3,Black,Odd,High,Column 3
1,22,Dozen 2,Black,Even,High,Column 1
2,31,Dozen 3,Black,Odd,High,Column 1
3,28,Dozen 3,Black,Even,High,Column 1
4,24,Dozen 2,Black,Even,High,Column 3
5,6,Dozen 1,Black,Even,Low,Column 3
6,36,Dozen 3,Red,Even,High,Column 3
7,19,Dozen 2,Red,Odd,High,Column 1
8,4,Dozen 1,Black,Even,Low,Column 1
9,19,Dozen 2,Red,Odd,High,Column 1
10,29,Dozen 3,Black,Odd,High,Column 2
11,30,Dozen 3,Red,Even,High,Column 3
12,27,Dozen 3,Red,Odd,High,Column 3
13,5,Dozen 1,Red,Odd,Low,Column 2
14,11,Dozen 1,Black,Odd,Low,Column 2
15,2,Dozen 1,Black,Even,Low,Column 2
16,32,Dozen 3,Red,Even,High,Column 2
17,29,Dozen 3,Black,Odd,High,Column 2
18,28,Dozen 3,Black,Even,High,Column 1
19,2,Dozen 1,Black,Even,Low,Column 2
20,8,Dozen 1,Black,Even,Low,Column 2
21,14,Dozen 2,Red,Even,Low,Column 2
22,11,Dozen 1,Black,Odd,Low,Column 2
23,18,Dozen 2,Red,Even,Low,Column 3
24,16,Dozen 2,Red,Even,Low,Column 1
25,36,Dozen 3,Red,Even,High,Column 3
26,27,Dozen 3,Red,Odd,High,Column 3
27,16,Dozen 2,Red,Even,Low,Column 1
28,5,Dozen 1,Red,Odd,Low,Column 2
29,22,Dozen 2,Black,Even,High,Column 1
30,24,Dozen 2,Black,Even,High,Column 3
31,33,Dozen 3,Black,Odd,High,Column 3
32,25,Dozen 3,Red,Odd,High,Column 1
33,24,Dozen 2,Black,Even,High,Column 3
34,35,Dozen 3,Black,Odd,High,Column 2
35,33,Dozen 3,Black,Odd,High,Column 3
36,36,Dozen 3,Red,Even,High,Column 3
37,7,Dozen 1,Red,Odd,Low,Column 1
38,14,Dozen 2,Red,Even,Low,Column 2
39,23,Dozen 2,Red,Odd,High,Column 2
40,17,Dozen 2,Black,Odd,Low,Column 2
41,9,Dozen 1,Red,Odd,Low,Column 3
42,27,Dozen 3,Red,Odd,High,Column 3
43,7,Dozen 1,Red,Odd,Low,Column 1
44,6,Dozen 1,Black,Even,Low,Column 3
45,5,Dozen 1,Red,Odd,Low,Column 2
46,35,Dozen 3,Black,Odd,High,Column 2
47,18,Dozen 2,Red,Even,Low,Column 3
48,5,Dozen 1,Red,Odd,Low,Column 2
49,0,0,0,0,0,0
50,19,Dozen 2,Red,Odd,High,Column 1
51,23,Dozen 2,Red,Odd,High,Column 2
52,1,Dozen 1,Red,Odd,Low,Column 1
53,5,Dozen 1,Red,Odd,Low,Column 2
54,35,Dozen 3,Black,Odd,High,Column 2
55,21,Dozen 2,Red,Odd,High,Column 3
56,30,Dozen 3,Red,Even,High,Column 3
57,30,Dozen 3,Red,Even,High,Column 3
58,27,Dozen 3,Red,Odd,High,Column 3
59,5,Dozen 1,Red,Odd,Low,Column 2
60,7,Dozen 1,Red,Odd,Low,Column 1
61,12,Dozen 1,Red,Even,Low,Column 3
62,31,Dozen 3,Black,Odd,High,Column 1
63,30,Dozen 3,Red,Even,High,Column 3
64,18,Dozen 2,Red,Even,Low,Column 3
65,34,Dozen 3,Red,Even,High,Column 1
66,17,Dozen 2,Black,Odd,Low,Column 2
67,34,Dozen 3,Red,Even,High,Column 1
68,4,Dozen 1,Black,Even,Low,Column 1
69,7,Dozen 1,Red,Odd,Low,Column 1
70,7,Dozen 1,Red,Odd,Low,Column 1
71,4,Dozen 1,Black,Even,Low,Column 1
72,13,Dozen 2,Black,Odd,Low,Column 1
73,21,Dozen 2,Red,Odd,High,Column 3
74,15,Dozen 2,Black,Odd,Low,Column 3
75,9,Dozen 1,Red,Odd,Low,Column 3
76,34,Dozen 3,Red,Even,High,Column 1
77,12,Dozen 1,Red,Even,Low,Column 3
78,0,0,0,0,0,0
79,19,Dozen 2,Red,Odd,High,Column 1
80,6,Dozen 1,Black,Even,Low,Column 3
81,0,0,0,0,0,0
82,28,Dozen 3,Black,Even,High,Column 1
83,13,Dozen 2,Black,Odd,Low,Column 1
84,30,Dozen 3,Red,Even,High,Column 3
85,22,Dozen 2,Black,Even,High,Column 1
86,8,Dozen 1,Black,Even,Low,Column 2
87,24,Dozen 2,Black,Even,High,Column 3
88,8,Dozen 1,Black,Even,Low,Column 2
89,27,Dozen 3,Red,Odd,High,Column 3
90,32,Dozen 3,Red,Even,High,Column 2
91,32,Dozen 3,Red,Even,High,Column 2
92,30,Dozen 3,Red,Even,High,Column 3
93,11,Dozen 1,Black,Odd,Low,Column 2
94,20,Dozen 2,Black,Even,High,Column 2
95,28,Dozen 3,Black,Even,High,Column 1
96,33,Dozen 3,Black,Odd,High,Column 3
97,17,Dozen 2,Black,Odd,Low,Column 2
98,1,Dozen 1,Red,Odd,Low,Column 1
99,31,Dozen 3,Black,Odd,High,Column 1
100,25,Dozen 3,Red,Odd,High,Column 1
101,8,Dozen 1,Black,Even,Low,Column 2
102,12,Dozen 1,Red,Even,Low,Column 3
103,5,Dozen 1,Red,Odd,Low,Column 2
104,12,Dozen 1,Red,Even,Low,Column 3
105,14,Dozen 2,Red,Even,Low,Column 2
106,3,Dozen 1,Red,Odd,Low,Column 3
107,19,Dozen 2,Red,Odd,High,Column 1
108,20,Dozen 2,Black,Even,High,Column 2
109,16,Dozen 2,Red,Even,Low,Column 1
110,6,Dozen 1,Black,Even,Low,Column 3
111,17,Dozen 2,Black,Odd,Low,Column 2
112,29,Dozen 3,Black,Odd,High,Column 2
113,6,Dozen 1,Black,Even,Low,Column 3
114,33,Dozen 3,Black,Odd,High,Column 3
