,Zahl,Dozen,Black/Red,Even/Odd,High/Low,Column
0,12,Dozen 1,Red,Even,Low,Column 3
1,5,Dozen 1,Red,Odd,Low,Column 2
2,29,Dozen 3,Black,Odd,High,Column 2
3,29,Dozen 3,Black,Odd,High,Column 2
4,30,Dozen 3,Red,Even,High,Column 3
5,32,Dozen 3,Red,Even,High,Column 2
6,34,Dozen 3,Red,Even,High,Column 1
7,18,Dozen 2,Red,Even,Low,Column 3
8,20,Dozen 2,Black,Even,High,Column 2
9,22,Dozen 2,Black,Even,High,Column 1
10,12,Dozen 1,Red,Even,Low,Column 3
11,24,Dozen 2,Black,Even,High,Column 3
12,31,Dozen 3,Black,Odd,High,Column 1
13,2,Dozen 1,Black,Even,Low,Column 2
14,21,Dozen 2,Red,Odd,High,Column 3
15,27,Dozen 3,Red,Odd,High,Column 3
16,16,Dozen 2,Red,Even,Low,Column 1
17,0,0,0,0,0,0
18,24,Dozen 2,Black,Even,High,Column 3
19,31,Dozen 3,Black,Odd,High,Column 1
20,9,Dozen 1,Red,Odd,Low,Column 3
21,6,Dozen 1,Black,Even,Low,Column 3
22,6,Dozen 1,Black,Even,Low,Column 3
23,21,Dozen 2,Red,Odd,High,Column 3
24,22,Dozen 2,Black,Even,High,Column 1
25,2,Dozen 1,Black,Even,Low,Column 2
26,9,Dozen 1,Red,Odd,Low,Column 3
27,1,Dozen 1,Red,Odd,Low,Column 1
28,28,Dozen 3,Black,Even,High,Column 1
29,20,Dozen 2,Black,Even,High,Column 2
30,26,Dozen 3,Black,Even,High,Column 2
31,22,Dozen 2,Black,Even,High,Column 1
32,21,Dozen 2,Red,Odd,High,Column 3
33,30,Dozen 3,Red,Even,High,Column 3
34,20,Dozen 2,Black,Even,High,Column 2
35,8,Dozen 1,Black,Even,Low,Column 2
36,3,Dozen 1,Red,Odd,Low,Column 3
37,5,Dozen 1,Red,Odd,Low,Column 2
38,24,Dozen 2,Black,Even,High,Column 3
39,32,Dozen 3,Red,Even,High,Column 2
40,6,Dozen 1,Black,Even,Low,Column 3
41,30,Dozen 3,Red,Even,High,Column 3
42,21,Dozen 2,Red,Odd,High,Column 3
43,5,Dozen 1,Red,Odd,Low,Column 2
44,20,Dozen 2,Black,Even,High,Column 2
45,26,Dozen 3,Black,Even,High,Column 2
46,5,Dozen 1,Red,Odd,Low,Column 2
47,15,Dozen 2,Black,Odd,Low,Column 3
48,25,Dozen 3,Red,Odd,High,Column 1
49,12,Dozen 1,Red,Even,Low,Column 3
50,33,Dozen 3,Black,Odd,High,Column 3
51,5,Dozen 1,Red,Odd,Low,Column 2
52,24,Dozen 2,Black,Even,High,Column 3
53,12,Dozen 1,Red,Even,Low,Column 3
54,30,Dozen 3,Red,Even,High,Column 3
55,10,Dozen 1,Black,Even,Low,Column 1
56,2,Dozen 1,Black,Even,Low,Column 2
57,23,Dozen 2,Red,Odd,High,Column 2
58,12,Dozen 1,Red,Even,Low,Column 3
59,18,Dozen 2,Red,Even,Low,Column 3
60,2,Dozen 1,Black,Even,Low,Column 2
61,14,Dozen 2,Red,Even,Low,Column 2
62,27,Dozen 3,Red,Odd,High,Column 3
63,15,Dozen 2,Black,Odd,Low,Column 3
64,24,Dozen 2,Black,Even,High,Column 3
65,28,Dozen 3,Black,Even,High,Column 1
66,27,Dozen 3,Red,Odd,High,Column 3
67,33,Dozen 3,Black,Odd,High,Column 3
68,17,Dozen 2,Black,Odd,Low,Column 2
69,34,Dozen 3,Red,Even,High,Column 1
70,12,Dozen 1,Red,Even,Low,Column 3
71,22,Dozen 2,Black,Even,High,Column 1
72,25,Dozen 3,Red,Odd,High,Column 1
73,24,Dozen 2,Black,Even,High,Column 3
74,29,Dozen 3,Black,Odd,High,Column 2
75,17,Dozen 2,Black,Odd,Low,Column 2
76,16,Dozen 2,Red,Even,Low,Column 1
77,14,Dozen 2,Red,Even,Low,Column 2
78,34,Dozen 3,Red,Even,High,Column 1
79,36,Dozen 3,Red,Even,High,Column 3
80,34,Dozen 3,Red,Even,High,Column 1
81,23,Dozen 2,Red,Odd,High,Column 2
82,8,Dozen 1,Black,Even,Low,Column 2
83,30,Dozen 3,Red,Even,High,Column 3
84,21,Dozen 2,Red,Odd,High,Column 3
85,6,Dozen 1,Black,Even,Low,Column 3
86,25,Dozen 3,Red,Odd,High,Column 1
87,9,Dozen 1,Red,Odd,Low,Column 3
88,4,Dozen 1,Black,Even,Low,Column 1
89,31,Dozen 3,Black,Odd,High,Column 1
90,8,Dozen 1,Black,Even,Low,Column 2
91,22,Dozen 2,Black,Even,High,Column 1
92,23,Dozen 2,Red,Odd,High,Column 2
93,15,Dozen 2,Black,Odd,Low,Column 3
94,25,Dozen 3,Red,Odd,High,Column 1
95,9,Dozen 1,Red,Odd,Low,Column 3
96,22,Dozen 2,Black,Even,High,Column 1
97,3,Dozen 1,Red,Odd,Low,Column 3
98,33,Dozen 3,Black,Odd,High,Column 3
99,16,Dozen 2,Red,Even,Low,Column 1
100,31,Dozen 3,Black,Odd,High,Column 1
101,5,Dozen 1,Red,Odd,Low,Column 2
102,9,Dozen 1,Red,Odd,Low,Column 3
103,16,Dozen 2,Red,Even,Low,Column 1
104,24,Dozen 2,Black,Even,High,Column 3
105,2,Dozen 1,Black,Even,Low,Column 2
106,25,Dozen 3,Red,Odd,High,Column 1
107,35,Dozen 3,Black,Odd,High,Column 2
108,4,Dozen 1,Black,Even,Low,Column 1
109,19,Dozen 2,Red,Odd,High,Column 1
110,18,Dozen 2,Red,Even,Low,Column 3
111,26,Dozen 3,Black,Even,High,Column 2
112,17,Dozen 2,Black,Odd,Low,Column 2
113,10,Dozen 1,Black,Even,Low,Column 1
114,16,Dozen 2,Red,Even,Low,Column 1
115,32,Dozen 3,Red,Even,High,Column 2
116,32,Dozen 3,Red,Even,High,Column 2
117,26,Dozen 3,Black,Even,High,Column 2
118,34,Dozen 3,Red,Even,High,Column 1
119,21,Dozen 2,Red,Odd,High,Column 3
120,6,Dozen 1,Black,Even,Low,Column 3
121,33,Dozen 3,Black,Odd,High,Column 3
122,14,Dozen 2,Red,Even,Low,Column 2
123,1,Dozen 1,Red,Odd,Low,Column 1
124,10,Dozen 1,Black,Even,Low,Column 1
125,7,Dozen 1,Red,Odd,Low,Column 1
126,26,Dozen 3,Black,Even,High,Column 2
127,18,Dozen 2,Red,Even,Low,Column 3
128,34,Dozen 3,Red,Even,High,Column 1
129,20,Dozen 2,Black,Even,High,Column 2
130,12,Dozen 1,Red,Even,Low,Column 3
131,26,Dozen 3,Black,Even,High,Column 2
132,35,Dozen 3,Black,Odd,High,Column 2
